Title,Price_pesos,Barangay,Municipality,Seller,Number_Bedrooms,Floor_sqm,Land_sqm,Latitude,Longitude
"TYC - FOR SALE: 3 Bedroom House in Hillcrest Estates Avida Nuvali, Laguna","15,600,000",Canlubang,Calamba,RE/MAX CAPITAL,3,129,278,121.0833961,14.17843086
Nuvali Townhouse for Sale Inner Unit Pre-Selling Unit Available at Santa Rosa,"6,187,675",Canlubang,Calamba,Paul Yana,3,65,60,121.0533622,14.1857173
"6 Bedroom House and lot for Sale at Santa Rosa, Laguna near Enchanted Kingdom","18,500,000",,Santa Rosa,Team 86,6,330,315,121.2806081,14.2984883
FOR SALE - Las Villas de Manila House for Sale,"32,000,000",Biñan,Biñan,Paolo Ona,4,420,300,121.0539924,14.2703263
"2-3BR Pay as Low as 11K Monthly DP, Pre Selling House and Lot in Sta Rosa","3,880,000",Balibago,Santa Rosa,Rachell Dorothy Llanes,3,45,60,121.10166,14.294425
"For Sale: House and Lot at IDESIA in Marinig, Cabuyao, Laguna",,Marinig,Cabuyao,Fely Chipre,2,42,50,121.152656,14.2696017
"3-Storey Pre-owned House for sale in Mabuhay City, Mamatid, Cabuyao, Lagua","3,500,000",Mamatid,Cabuyao,Eva Emilia Carreon,4,120,63,121.151417,14.239095
"Affordable House For Sale in Villa de Charlotte, Santa Rosa, Laguna","1,462,080",Dila,Santa Rosa,Norman Tapar,2,44,36,121.116843,14.2915
"2 Storey House and Lot w/ Parking in Santa Rosa City, Laguna For Sale","2,140,585",Tagapo,Santa Rosa,Norman Tapar,2,42,50,121.0964134,14.3127655
"Premium Single Attached Complete Package in Calamba, Laguna For Sale","2,520,000",Banlic,Calamba,Norman Tapar,2,88,50,121.158742,14.22865
Ready for Occupancy Available in Calamba Laguna Single Attached For Sale,"2,520,000",Banlic,Calamba,Norman Tapar,2,88,50,121.158742,14.22865
"Brand New 2 Storey Modern House and Lot for Sale in Cabuyao, Laguna","10,000,000",Butong,Cabuyao,Armenia Rites,3,206,150,121.136491,14.28691
"3-Bedroom Townhouse For Sale in Borland Subdivision, Alaminos, Laguna","1,054,000",Barangay I,Alaminos,Lucia Salamat,3,44,40,121.2554248,14.0644915
"For Sale! 1 Bedroom House and Lot - Palmera Model in Lynville, Sta. Cruz, Laguna","630,000",Bubukal,Santa Cruz,Eleuteria P. Gargullo,1,33,36,121.402416,14.26432
"For Sale: 1 Bedroom House and Lot - Palmera Model in Lynville, Sta. Cruz, Laguna","630,000",Bubukal,Santa Cruz,Crisilda Joy Ann Irinco,1,33,36,121.402416,14.26432
House and Lot For Sale Sta. Rosa Laguna,"23,682,000",Santo Domingo,Santa Rosa,Suzette Fernandez,3,211,180,121.0661417,14.2444071
"Townhouse for Sale at Phirst Sights Bay, Puypuy, Bay, Laguna","1,200,000",Puypuy,Bay,Rodel Dichoso,2,36,,121.282239,14.166966
3-Storey Single attached Complete Turnover,"5,465,000",Makiling,Calamba,Luz Calimosa,3,78,132,121.13831,14.157145
2-Storey 2BR Modern House with backdrop of Mt. Makiling,"3,233,000",Makiling,Calamba,Luz Calimosa,2,59,100,121.13831,14.157145
"House and Lot for Sale in Augusta Village, Santa Rosa, Laguna","12,000,000",Don Jose,Santa Rosa,CoescaRealty CoescaRealty,3,110,169,121.0735873,14.2615584
For Sale: House in San Pedro Laguna,,Calendola,San Pedro,Fely Chipre,1,26,60,121.0352846,14.3410633
"Brentville House and Lot for Sale in Mamplasan, Biñan, Laguna","45,000,000",Mampalasan,Biñan,Mylene Pearce,6,700,311,121.0837,14.30146
"Duplex Bungalow House in San Francisco Heights, Calamba, Laguna for Sale","2,579,510",Palo-Alto,Calamba,M.L. Matienzo,2,38,110,121.113605,14.191945
"3BR House and Lot for Sale at Georgia Club, Santa Rosa, Laguna","36,484,000",Don Jose,Santa Rosa,Realus Realtors,3,265,242,121.0735873,14.2615584
"3-Bedroom House and Lot for Sale at Valenza, Santa Rosa, Laguna","15,400,000",Santo Domingo,Santa Rosa,Realus Realtors,3,95,149,121.0661417,14.2444071
"3Br House and lot for sale at San Jose Village 2, Biñan, Laguna","4,500,000",Biñan,Biñan,Gfiliojr Gfiliojr,3,72,130,121.0539924,14.2703263
"House and lot for sale at Southdale Settings Nuvali, Calamba, Laguna","8,800,000",Canlubang,Calamba,Gfiliojr Gfiliojr,3,85,138,121.0873142,14.17623682
"House and lot for sale at Averdeen Estates Nuvali, Calamba, Laguna","10,500,000",Hornalan,Calamba,Gfiliojr Gfiliojr,3,110,169,121.0822104,14.1753161
Two-Storey Single-Attached House with 3 Bedroom For Sale at Alaminos,"4,265,000",San Benito,Alaminos,Catherine Vilatcha,3,95,89,121.2799644,14.0571169
"KA - FOR SALE: 4 Bedroom House in Camella Dos Rios, Cabuyao, Laguna","8,850,000",Pittland,Cabuyao,RE/MAX CAPITAL,5,140,120,121.0909261,14.23066526
"For Sale! Townhouse at Villa De Calamba Subdivision in Calamba City, Laguna","1,500,000",La Mesa,Calamba,Ma. Zenia Dalumpines,2,50,36,121.154048,14.187205
"Bungalow Single-Attached House and lot for sale in Calamba, Laguna","3,506,800",Makiling,Calamba,Arnel Sulit,2,50,132,121.13831,14.157145
Aurea Model: A Single Detached House for Sale,,Zapote,Biñan,Luz Calimosa,3,97,146,121.0831951,14.3147643
"For Sale 2-Bedroom Townhouse in Gran Avila, Majada Labas, Calamba, Laguna","2,570,500",Majada Labas,Calamba,Joseph Dacaimat,2,43,47,121.1079235,14.19548116
4BR Modern House and Lot for Sale in Villa Segovia Subdivision Sta Rosa Laguna,"11,000,000",Don Jose,Santa Rosa,Cyril Katipunan,4,200,150,121.0735873,14.2615584
EM - FOR SALE: Brand New 5BR Home in Mirala Nuvali - P45M,"45,000,000",Canlubang,Calamba,RE/MAX CAPITAL,5,422,448,121.0533622,14.1857173
Four Bedroom House and Lot For Sale in santa rosa estates 1,"16,200,000",Don Jose,Santa Rosa,Gfiliojr Gfiliojr,4,172,250,121.0735873,14.2615584
For Sale Phirst Home @ Alora and Amani Series in Laguna,"1,200,000",Puypuy,Bay,Rodel Dichoso,2,36,40,121.2826666,14.16687358
"2-Bedroom Townhouse For Sale in Phirst Park Homes Calamba, Laguna","4,605,755",Palo-Alto,Calamba,Christy Ann Q. Saño,2,40,161,121.10914,14.19053
"Bare Type Townhouse For Sale in Southpoint Villas, Alaminos, Laguna",,Barangay III,Alaminos,Richard Dacaynos,3,47,40,121.2554383,14.0723535
"For Sale 380sqm 4 Bedroom House at Hillcrest Nuvali, Calamba, Laguna","60,000,000",Canlubang,Calamba,Bridgette Aloya,4,380,303,121.0533622,14.1857173
"For Sale 310sqm 4BR Sophisticated Brand New House in Nuvali, Laguna","30,000,000",Canlubang,Calamba,Bridgette Aloya,4,310,250,121.0533622,14.1857173
2BR Cozy House & Lot for Sale at Nuvali,"11,500,000",Santo Domingo,Santa Rosa,Team 86,2,140,150,121.0661417,14.2444071
"5-Bedroom House For Sale in Avida Settings Nuvali, Calamba, Laguna","13,000,000",Canlubang,Calamba,"PhilRealty Global Marketing, Inc",5,158,135,121.06968889249,14.204669029697
"3 Bedrooms Townhouse For Sale in Santevi, San Pablo, Laguna","2,600,000",San Vicente,San Pablo,Michael Elizan,3,55,50,121.340728,14.0256013
3 Bedroom Duplex Mansion 80sqm,"3,400,000",San Vicente,San Pablo,Michael Elizan,3,66,80,121.340728,14.0256013
"Corner 2-Storey House for Sale in Brentville, Mamplasan, Biñan","22,900,000",Mampalasan,Biñan,27C Realty,3,176,252,121.0810444,14.2923053
"Pre-selling Modern Tropical House at Cerilo, Nuvali at Cerilo Nuvali, Calamba,","106,000,000",Canlubang,Calamba,Realus Realtors,5,610,664,121.0533622,14.1857173
4BR House and Lot for Sale at Biñan Laguna,"26,000,000",Malamig,Biñan,Realus Realtors,4,730,1535,121.0651381,14.2769638
5BR Resort House and Lot for Sale at Prime Subdivision Area- Laguna,"34,500,000",Bagong Silang,Los Baños,Realus Realtors,5,500,240,121.2255482,14.1397208
"5 Bedroom House and Lot with Swimming Pool for Sale in Calamba, Laguna","12,000,000",,Calamba,Gina Baldovino,5,300,499,121.2197257,14.1951957
"Calista End Unit For Sale in Phirst Park Homes San Pablo, Laguna","2,538,410",San Ignacio,San Pablo,Layalyn J,2,40,90,121.3477927,14.0568397
"36 sqm Rowhouse for Sale in St. Joseph Homes, Calamba Laguna",,Laguerta,Calamba,Fely Chipre,1,42,36,121.0965228,14.1752954
"For Sale: 42 sqm Townhouse End Unit in St. Joseph Homes, Calamba, Laguna",,Laguerta,Calamba,Fely Chipre,2,42,54,121.0965228,14.1752954
"For Sale: 42 sqm Townhouse Inner Unit in St. Joseph Homes, Calamba, Laguna","1,681,503",Laguerta,Calamba,Fely Chipre,2,42,36,121.0965228,14.1752954
"Ready For Occupancy in San Pablo Laguna, Phirst Park Homes, Calista Mid For Sale","1,750,372",San Ignacio,San Pablo,Layalyn J,2,40,44,121.3477927,14.0568397
For Sale : Calista Mid -Calamba House for Sale,"1,969,206",Palo-Alto,Calamba,Christy Ann Q. Saño,2,40,44,121.113605,14.191945
"Townhouse for sale in Phirst Sights, Puypuy, Bay, Laguna","1,427,705",Puypuy,Bay,Christy Ann Q. Saño,2,36,40,121.27432,14.16946
72LAG157-Foreclosed Residential with a single-storey structure in Los Banos Laguna,"2,296,000",Anos,Los Baños,"Maybank Philippines, Inc.",,,403,121.2311301,14.1747531
"FOR SALE: Brand New 5 Bedroom House and Lot in Mirala Nuvali, Calamba, Laguna","45,000,000",Santo Domingo,Santa Rosa,Rick Manzano,5,422,448,121.0661417,14.2444071
House and Lot 5 Bedroom For Sale Nuvali Avida Parkway Calamba Laguna,"18,400,000",Canlubang,Calamba,Lea Doria,5,224,220,121.06833,14.20202
3 Bedroom Mansion in savana by ovialand inc. for sale,"3,050,000",Soledad,San Pablo,Michael Elizan,3,68,60,121.3168597,14.0414842
"5 Bedroom Stonecrest House for Sale at San Pedro City, Laguna","37,000,000",Estrella,San Pedro,Team G-wagon,5,400,505,121.0434637,14.3368386
For Sale: Calista Mid Townhouse for sale at Phirst Park Homes Calamba,"1,969,206",Palo-Alto,Calamba,Christy Ann Q. Saño,2,40,44,121.10914,14.19053
For Sale: Calista Mid,"2,028,308",Palo-Alto,Calamba,Christy Ann Q. Saño,2,40,44,121.10914,14.19053
"House and Lot for Sale in Brentville International Community, Biñan","60,000,000",Mampalasan,Biñan,Raphael Santos,6,700,311,121.0810444,14.2923053
"3BR Brand New Modern House for Sale at Alveo Venare, Nuvali City","29,999,999",Canlubang,Calamba,Team 86,3,310,250,121.0533622,14.1857173
3BR House for Sale at Avida Parkway Nuvali,"12,500,000",Canlubang,Calamba,Team 86,3,120,200,121.0533622,14.1857173
"4BR House and Lot for Sale at Valenza Crown Asia, Nuvali, Santa Rosa, Laguna","15,600,000",Santo Domingo,Santa Rosa,Team 86,4,165,158,121.0661417,14.2444071
"For Sale - Ayala Greenfield Estates House and Lot in Calamba, Laguna","45,000,000",Maunong,Calamba,Noel Del Castillo,3,356,504,121.159234,14.17197
Ayala Greenfield Estate | Three Bedroom House and Lot For Sale - #4508,"38,500,000",Maunong,Calamba,Everbright Real Estate,3,350,598,121.159234,14.17197
"3 Bedroom Dream Home in Calamba, Laguna at Suntrust Sentosa for Sale","4,766,020",Punta,Calamba,Michelle Aglipay,3,80,110,121.122173,14.176345
Duplex Ready For Occupancy for Sale,"4,800,000",Antipolo,Rizal,Irene Vito,4,105,59,121.380557,14.114565
"House and Lot For Sale at Santa Rosa Estates 2 in Sta. Rosa, Laguna",,Santo Domingo,Santa Rosa,Ms. Des,4,250,225,121.0661417,14.2444071
"For Sale Affordable Fully Finished Mid Unit House For Sale in San Pablo, Laguna","1,735,008",San Ignacio,San Pablo,Layalyn J,2,40,48,121.3477927,14.0568397
"For Sale:  RFO Calista End at PHirst Park Homes San Pablo, Laguna","2,100,000",San Ignacio,San Pablo,Layalyn J,2,40,60,121.3477927,14.0568397
"Spacious 3 Bedroom House at Villa Anthurium, Santa Rosa, Laguna for Sale","22,000,000",Dita,Santa Rosa,Dorie Pizarra,3,232,,121.1152158,14.2786174
"House and Lot For Sale in Avida Woodhill Nuvali, Calamba","17,500,000",Canlubang,Calamba,Licensed Broker,4,296,192,121.0533622,14.1857173
"For Sale: 5BR Semi Furnished House * Lot in Venare, Nuvali Calamba Laguna","30,000,000",Canlubang,Calamba,Licensed Broker,5,312,244,121.0533622,14.1857173
"2 Bedroom Calista End for Sale at Phirst Park Homes Calamba City, Laguna",,Palo-Alto,Calamba,CHERRY L. TAMULA,2,40,102,121.108296,14.18416858
"3-BR House and Lot For Sale at Olivarez Homes, Calamba, Laguna","4,500,000",Milagrosa (Tulo),Calamba,Realus Realtors,3,98,102,121.1395358,14.1720168
"Ready for Occupancy Duplex House for sale in San Pedro, Laguna - 2 Verde Rosa","2,000,000",Magsaysay,San Pedro,Adrian Galut,2,52,56,121.0536222,14.3422826
"Fairway View House For Sale Ayala in Greenfield Estates, Calamba","138,000,000",Maunong,Calamba,See A Broker,8,1430,1370,121.1395358,14.1720168
"Fairway View House For Sale In Ayala Greenfield Estates, Calamba","138,000,000",Maunong,Calamba,Licensed Broker,8,1430,1370,121.159234,14.17197
"Elegant & Renovated House For Sale in a secured subd. in Santa Rosa, Laguna","65,000,000",Santo Domingo,Santa Rosa,Brokerwowie Roldan,4,600,719,121.0661417,14.2444071
"5BR House & Lot For Sale at Biñan, Laguna","32,000,000",San Francisco,Biñan,Team 86,5,328,427,121.0555577,14.3336384
"House For Sale in Calamba City, Laguna","2,270,520",Majada Labas,Calamba,Wena Andal,2,47,70,121.104962,14.196755
"Araya Residences 2 Bedroom House for Sale in Santa Rosa, Laguna","3,772,850",Tagapo,Santa Rosa,Annalyn Bacsa,2,55,81,121.0964134,14.3127655
"For Sale 3 Bedroom House and Lot at Southwind, San Pedro, Laguna","6,443,200",San Antonio,San Pedro,Marlyn Bodino,3,131,125,121.0433415,14.3669314
"Brand New House and Lot for Sale in Laguna Bel Air, Sta Rosa Laguna","14,000,000",Don Jose,Santa Rosa,Ronald Asuncion,3,268,144,121.0735873,14.2615584
"Santeví House for Sale San Pablo City, Laguna","3,700,000",San Vicente,San Pablo,Desa Angelyn Fermo,3,74,85,121.340728,14.0256013
Brand New Modern House for Sale in Ayala Westgrove Heights,"90,000,000",Don Jose,Santa Rosa,Sarah Guimbaolibot,5,712,573,121.0735873,14.2615584
"For Sale 6 Bedroom House and Lot at Sta. Rosa Estates 2, Santa Rosa, Laguna.","18,500,000",Don Jose,Santa Rosa,Randall Pena,6,,575,121.0735873,14.2615584
"RFO House & Lot for Sale Southfield Settings Nuvali ""Macy Model"" Nuvali, Calamba","8,350,000",Canlubang,Calamba,CHEL AQUINO,3,57,142,121.0533622,14.1857173
BALINESE HOT SPRING RESORT for Sale in Laguna Philippines,"25,000,000",Pansol,Calamba,Philippine Property,5,500,240,121.1840111,14.178416
Penthouse 3 storey Prime location  2 mibutes mamplasan Exit,"5,824,000",Zapote,Biñan,Mary Jane Macalintal,4,90,,121.0831951,14.3147643
"RFO for Sale 3 Bedroom 3TB Duplex House w/ 2 Car Garage in Calamba, Laguna","2,800,000",Lawa,Calamba,Raymond Aldabe Mamino,3,62,60,121.146668,14.2086539
"For Sale Affordable 3 Bedroom 2-Storey House and Lot in Santa Rosa, Laguna","4,900,000",Malitlit,Santa Rosa,Svetlana Perey,3,84,77,121.099378,14.2656453
"Clean Title Single Attached House and Lot For Sale in Biñan, Laguna","5,300,000",Canlalay,Biñan,Mary Jane Macalintal,3,72,138,121.0713046,14.3435045
Pre Selling Pag ibig and Inhouse Financing- 2 Storey Inner Lot in Sta Rosa Lagun,"1,462,080",Dila,Santa Rosa,Norman Tapar,2,44,36,121.116843,14.2915
"4 Bedroom 2 storey House and Lot For Sale in La Residencia Sta. Rosa, Laguna","19,500,000",Santo Domingo,Santa Rosa,Rick Manzano,4,220,180,121.0661417,14.2444071
"4 Bedroom House and lot for Sale at Las Villas De Manila, Biñan, Laguna","28,000,000",San Francisco,Biñan,Team 86,4,333,,121.0555577,14.3336384
"RFO 2 Bedroom Townhouse For Sale in Tiffany Village, Calamba, Laguna","2,794,919",Makiling,Calamba,Almira P. Vega,2,53,50,121.13831,14.157145
For Sale: Brand New Modern Contemporary Home In Venare Nuvali,"30,000,000",Canlubang,Calamba,Sacho Lacson,4,310,245,121.0533622,14.1857173
"Vacation House and Lot for Sale in Masili, Calamba City, Laguna","198,000,000",Masili,Calamba,Mhar De Mesa,14,1100,6485,121.201628,14.1816
"For Sale 4 Bedroom House and Lot in Valenza By Crownasia, Santa Rosa",,Santo Domingo,Santa Rosa,MARVIN TUGNA CASIO B&W REALTY,4,211,270,121.0661417,14.2444071
New Fully-Furnished House in Verdana Mamplasan Binan Laguna,"28,800,000",Langkiwa,Biñan,Eva Emilia Carreon,4,320,225,121.0810444,14.2923053
"Brand New TownHomes  for Sale at Southpoint Villas, Alaminos","1,200,000",Barangay III,Alaminos,Richard Dacaynos,3,46,38,121.2554383,14.0723535
"Southpoint By Borland House for Sale in Alaminos, Laguna","1,003,991",Barangay I,Alaminos,Christopher Alnas,2,36,36,121.2554248,14.0644915
"Pre-selling Modern House & Lot in Vie at Southern Plains in Calamba City, Laguna","20,000,000",Canlubang,Calamba,Anne Tinio,2,200,150,121.1140601,14.2288725
Ayala Greenfield Estate House and Lot,"38,500,000",Maunong,Calamba,mike cruz,3,350,598,121.159234,14.17197
Ayala Greenfield Estates House and Lot,"32,000,000",Maunong,Calamba,mike cruz,3,180,517,121.159234,14.17197
"3 Bedroom Japanese House and Lot for Sale at Nuvali Blvd, Cabuyao","24,980,000",Pittland,Cabuyao,Christine Gomez,3,219,144,121.0721529,14.2220299
"Upgraded, Spacious 5-Bedroom House For Sale at Santa Rosa Estates 1, Laguna","16,000,000",Don Jose,Santa Rosa,Mitch Razote,5,200,304,121.0735873,14.2615584
"5 Bedrooms Single-Detached Unit 145sqm House for Sale in Alaminos, Laguna","8,193,900",San Benito,Alaminos,Michael Elizan,5,181,145,121.2799644,14.0571169
"4 Bedrooms Single-Detached Unit 121sqm House for Sale in Alaminos, Laguna","6,910,420",San Benito,Alaminos,Michael Elizan,4,142,121,121.2799644,14.0571169
"4 Bedrooms Single-Detached Unit 121sqm House for Sale in Alaminos, Laguna","6,165,280",San Benito,Alaminos,Michael Elizan,4,107,121,121.2799644,14.0571169
"3 Bedrooms Two-Storey Unit 89sqm House for Sale in Alaminos, Laguna","4,265,195",San Benito,Alaminos,Michael Elizan,3,95,89,121.2799644,14.0571169
For Sale House and Lot Valenza Subd. Santa Rosa Laguna,"20,000,000",Santo Domingo,Santa Rosa,Karen Brillantes,3,240,210,121.0661417,14.2444071
"Cerise Nuvali House and Lot for Sale, Avida Nuvali, Calamba, Laguna","4,300,000",Canlubang,Calamba,Sarah Guimbaolibot,2,50,88,121.0533622,14.1857173
2BR and 1TB Unit with fence and gate in Phirst Park,"1,802,895",San Ignacio,San Pablo,Desa Angelyn Fermo,2,40,44,121.3477927,14.0568397
Single attached 3BR and 2TB for Sale,"3,990,195",San Benito,Alaminos,Desa Angelyn Fermo,3,85,89,121.2799644,14.0571169
"4BR  House and Lot for Sale at Pramana Residential Park, Laguna","15,800,000",Malitlit,Santa Rosa,Team 86,4,200,156,121.099378,14.2656453
Townhouse 3BR and 2TB in Laguna,"2,350,000",Soledad,San Pablo,Desa Angelyn Fermo,3,48,48,121.3168597,14.0414842
single attached with 3 bedrooms and 2 toilet & bath in Brgy San Vicente for sale,"3,700,000",San Vicente,San Pablo,Desa Angelyn Fermo,3,74,85,121.340728,14.0256013
"Brand New 4 Bedroom House for Sale in Nuvali Blvd. Cabuyao, Laguna","28,880,000",Pittland,Cabuyao,Christine Gomez,4,283,145,121.0721529,14.2220299
"For Sale: House and Lot in Camella Dos Rios Trails at Cabuyao City, Laguna","8,850,000",Pittland,Cabuyao,Realty Ventures,4,144,121,121.0721529,14.2220299
"48sqm 3 Bedroom Townhouse for sale in Soledad, San Pablo City, Laguna","2,350,000",Soledad,San Pablo,Michael Elizan,3,48,48,121.3180622,14.04708035
"Pre-selling 3 Bedrooms with Family Area House at Santevi Homes, San Pablo","3,400,000",San Vicente,San Pablo,Anna Ducay,3,74,85,121.340728,14.0256013
"3 Bedrooms, 2 Toilet and Bath Inner Townhouse For Sale in San Pablo, Laguna","2,000,000",Soledad,San Pablo,Anna Ducay,3,48,48,121.3168597,14.0414842
"Single Attached 3 Bedroom 85sqm House unit for sale in San Pablo, Laguna","3,700,000",San Vicente,San Pablo,Michael Elizan,3,74,85,121.340728,14.0256013
"Nuvali House and Lot For Sale - Avida Parkway Settings, Calamba, Laguna","18,000,000",Canlubang,Calamba,Lota Pili,5,224,220,121.0533622,14.1857173
House in Punta Altezza by Filinvest Calamba Laguna,"4,800,000",Barangay 1,Calamba,Harmonie Ph,4,168,120,121.157729,14.2074
House in Crescent Knoll Residences Calamba Laguna,"4,800,000",Barandal,Calamba,Harmonie Ph,5,170,85,121.129069,14.195385
For Sale Fully Finished 2-BR House n Lot with Fence and Gate at Calamba Laguna,"2,580,104",Palo-Alto,Calamba,Doris Lat,2,40,66,121.113605,14.191945
"3 Bedroom House and Lot for Sale at Avida Woodhill Settings Nuvali, Calamba","10,700,000",Canlubang,Calamba,Beth Agudo Sebastian,3,69,180,121.0533622,14.1857173
"Affordable 2 Bedroom House For Sale in Citadel, Cabuyao, Laguna","1,303,000",Mamatid,Cabuyao,Annalyn Bacsa,2,44,36,121.151417,14.239095
Modern Tropical House,"19,000,000",Canlubang,Calamba,Anne Tinio,3,150,,121.0533622,14.1857173
"Three Bedroom Smart House for sale in Sevina Park, Biñan, Laguna","27,212,000",Biñan,Biñan,Diana Aquino Deximo,3,162,,121.0539924,14.2703263
House in Nuvali Sta Rosa Laguna nr SLEX Calamba Southwoods Alabang Tagaytay CALA,"30,000,000",Santo Domingo,Santa Rosa,Cleren Santos,4,310,250,121.0661417,14.2444071
House w/ Pool in Nuvali Sta Rosa Laguna nr Tagaytay SLEX Alabang Southwoods Bina,"60,000,000",Santo Domingo,Santa Rosa,Cleren Santos,4,475,359,121.0661417,14.2444071
Brandnew Hotspring resort for sale in Los Baños,"28,000,000",Bagong Silang,Los Baños,Alma Santos,5,180,240,121.2255482,14.1397208
"Affordable Townhouse at Alaminos, Laguna","1,003,991",Barangay III,Alaminos,Edz ESGUERRA,3,46,40,121.2554383,14.0723535
"Affordable Townhouse at Alaminos, Laguna (SOUTHPOINT VILLAS)","1,003,991",Barangay III,Alaminos,Broker Theresa Francia LPT,3,46,40,121.2554383,14.0723535
Southpoint Villas Alaminos Laguna,"1,003,991",Barangay III,Alaminos,Charmin Dela Cruz,3,46,40,121.2554383,14.0723535
Laguna Bel-Air 4 Sta Rosa Laguna Open for Bank Financing House and Lot for Sale,"8,300,000",Don Jose,Santa Rosa,grace tg,4,140,144,121.0735873,14.2615584
"2-Storey Townhouse for Sale in Calamba, Laguna at Gran Avila | Stanza (RFO Basic)","2,270,520",Majada Labas,Calamba,Suntrust Properties Inc,2,43,70,121.104962,14.196755
"3-Bedroom 2-Storey House and Lot for Sale in Calamba, Laguna at Gran Avila | Alto","3,343,240",Majada Labas,Calamba,Suntrust Properties Inc,3,60,90,121.104962,14.196755
Affordable 4 Bedroom Single Attach In San Pablo Laguna,"3,410,000",San Vicente,San Pablo,Edz ESGUERRA,4,74,85,121.340728,14.0256013
"Verdana Homes Mamplasan | 4 Bedroom 4BR House and Lot for Sale in Biñan, Laguna","23,000,000",Malamig,Biñan,Jackson Lim,4,300,200,121.0651381,14.2769638
"3-Storey Townhouse for sale at the heart of Biñan City, Laguna","5,724,000",San Antonio,Biñan,Edz ESGUERRA,3,90,60,121.0895615,14.3355937
"For Sale Southdale Settings Nuvali Calamba ""Trista House Model""","11,383,000",Canlubang,Calamba,CHEL AQUINO,3,87,148,121.0533622,14.1857173
"2Storey TH- 3BR,Complete Turn over in Nuvali Sta rosa Laguna","6,222,168",Don Jose,Santa Rosa,Norman Tapar,3,65,60,121.0735873,14.2615584
Affordable 2 storey Townhouse sa San Pablo Laguna,"1,027,000",Santa Monica,San Pablo,Edz ESGUERRA,2,44,36,121.3011068,14.0551969
"2 Bedroom Townhouse in Madison Residences in San Pedro near new SM, School, etc.","4,473,000",Sampaguita Village,San Pedro,Airene Grace Diolata,2,54,50,121.0429998,14.3538688
Nuvali Town homes For Sale Nice Location Laguna,"7,000,000",Canlubang,Calamba,Lizh Castro,3,69,,121.0533622,14.1857173
Modern Japanese Inspired House & Lot for Sale in Laguna,"22,000,000",Pittland,Cabuyao,Rainier Kristoffer Espiritu,3,275,144,121.0721529,14.2220299
"2Storey Duplex Prov for 2BR, Toilet & Bath,Carport in San Pablo Laguna","1,380,000",San Marcos,San Pablo,Norman Tapar,2,50,60,121.3040797,14.1035008
"Bare type 2Storey w/Loft (Prov 1BR, 1 T&B) in San Pablo Laguna","800,000",San Marcos,San Pablo,Norman Tapar,1,33,36,121.3040797,14.1035008
"Bedroom, Carport, Lanai, Toilet & Bath Complete Single Attached in Sta Cruz Lag","2,250,000",Gatid,Santa Cruz,Norman Tapar,2,50,80,121.3799437,14.2660546
"Bedroom, Carport, Lanai, Toilet & Bath Complete Single Attach in Sta Cruz Laguna","2,250,000",Gatid,Santa Cruz,Norman Tapar,2,50,80,121.3799437,14.2660546
"Complete w/ 2Bedroom, Toilet &Bath, Carport in Cabuyao Laguna","2,300,000",Marinig,Cabuyao,Norman Tapar,2,50,80,121.152656,14.2696017
"3 Storey Townhouse with 24 Hours Security near Malls and SLEX, CALAX","5,724,000",San Antonio,Biñan,Airene Grace Diolata,3,90,60,121.0895615,14.3355937
Verdana Homes Mamplasan (Biñan) 3-Storey Asian Balinese House for Sale!,"21,500,000",Langkiwa,Biñan,Maria Luisa Alversado,4,250,200,121.0617653,14.2968418
"5 Bedroom House and Lot with Swimming Pool for Sale in Calamba, Laguna","12,000,000",,Calamba,Gina Baldovino,5,300,499,121.2197257,14.1951957
"Brutalist Modern Villa House inspired for Sale in Southern Plains,Calamba Laguna","27,000,000",Canlubang,Calamba,Rainier Kristoffer Espiritu,5,350,230,121.0533622,14.1857173
"Brutalist Modern Villa House inspired for Sale in Southern Plains,Calamba Laguna","27,000,000",Canlubang,Calamba,Rainier Kristoffer Espiritu,5,350,230,121.0533622,14.1857173
"Brutalist Modern Villa House inspired for Sale in Southern Plains,Calamba Laguna","27,000,000",Canlubang,Calamba,Rainier Kristoffer Espiritu,5,350,230,121.0533622,14.1857173
"3 Bedroom Townhouse For Sale in Biñan, Laguna- Las Villas de Manila","17,000,000",San Francisco,Biñan,Kristine Kintanilla,3,200,,121.0555577,14.3336384
"3 Bedroom Townhouse For Sale in Las Villas de Manila at Biñan City, Laguna","13,500,000",San Francisco,Biñan,Kristine Kintanilla,3,90,178,121.0555577,14.3336384
"Laguna Bel-Air Modern Design RFO House for Sale in Sta Rosa near Nuvali, Paseo","7,900,000",Don Jose,Santa Rosa,grace tg,3,120,107,121.0735873,14.2615584
"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","3,500,000",Palo-Alto,Calamba,Sunproperties Development Corporation,,,104,121.113605,14.191945
"FOR SALE: 3BR House in Ridgeview Estates Nuvali - Php15M, Canlubang, Calamba","15,000,000",Canlubang,Calamba,Rick Manzano,3,176,117,121.0533622,14.1857173
3 Bedroom Town house for sale Located at  Savana San Pablo.,"2,000,000",Soledad,San Pablo,Roida Geroleo,3,48,48,121.3168597,14.0414842
Brutalist Modern Villa House inspired for Sale in Southern Plains Calamba Laguna,"27,000,000",Canlubang,Calamba,Rainier Kristoffer Espiritu,4,350,230,121.0533622,14.1857173
